USD,GBP,EUR,Date,Year
80.59124,140.52022,95.31329,2005-12-19,2005
80.59064,140.5082,95.30514,2005-12-20,2005
80.58769,140.50121,95.3004,2005-12-21,2005
80.58494,140.16684,96.07665,2005-12-22,2005
80.58276,138.87629,95.53335,2005-12-23,2005
80.57587,139.08072,95.61346,2005-12-27,2005
80.57186,139.60408,95.78792,2005-12-28,2005
80.57418,141.52981,97.43923,2005-12-29,2005
80.57806,141.40186,97.46657,2005-12-30,2005
80.58446,142.44152,97.52484,2006-01-03,2006
80.58886,142.19253,97.25023,2006-01-05,2006
80.5749,141.49305,96.89093,2006-01-06,2006
80.57086,141.68129,97.4119,2006-01-09,2006
80.53914,141.43766,96.70896,2006-01-10,2006
80.49849,142.44362,97.42258,2006-01-11,2006
80.32076,141.71955,97.20251,2006-01-12,2006
80.22723,141.28966,96.90404,2006-01-13,2006
80.21646,141.34105,97.07221,2006-01-16,2006
80.22281,140.90709,96.91224,2006-01-17,2006
80.23981,143.00951,98.45741,2006-01-18,2006
80.2053,142.82959,98.41082,2006-01-19,2006
80.21171,143.19373,98.15447,2006-01-20,2006
80.23865,142.05157,,2006-01-23,2006
80.21624,142.31017,96.98677,2006-01-24,2006
80.17828,142.52775,96.19321,2006-01-26,2006
80.19811,140.86427,96.8573,2006-01-27,2006
80.19533,140.09814,96.1732,2006-01-30,2006
80.20075,139.70049,96.06294,2006-02-01,2006
80.14765,139.67671,95.97444,2006-02-02,2006
80.17988,139.85989,95.98465,2006-02-06,2006
80.17774,139.27654,95.94927,2006-02-07,2006
80.16602,139.06728,95.46154,2006-02-08,2006
80.17245,139.32135,95.46096,2006-02-09,2006
80.1542,139.83035,95.23485,2006-02-10,2006
80.15812,139.8438,95.90291,2006-02-13,2006
80.15916,139.88129,95.46829,2006-02-15,2006
80.15867,140.5289,95.42389,2006-02-16,2006
80.15727,139.62332,95.48944,2006-02-17,2006
80.15957,140.59176,94.99003,2006-02-21,2006
80.573,140.39346,95.62484,2006-02-22,2006
80.15809,141.06613,96.26751,2006-02-23,2006
80.1612,139.78557,96.73747,2006-02-24,2006
80.15566,139.20534,95.80899,2006-02-27,2006
